,ticker,shares_bought,avg_price_per_share,date_of_transaction,order_amount,current_price,opportunity_cost
0,CVNA,-1.0,35.13,2019-02-01,-35.13,192.0,-156.87
1,CRON,-7.0,21.3957,2019-03-04,-149.7699,5.64,110.2899
2,CRON,-1.0,7.21,2019-11-13,-7.21,5.64,1.5700000000000003
3,CRON,-1.0,6.7,2019-11-19,-6.7,5.64,1.0600000000000005
4,SONO,-5.0,10.972000000000001,2019-04-03,-54.86,13.7,-13.63999999999999
5,JMIA,-2.0,45.5,2019-05-01,-91.0,19.26,52.48
6,SVMK,-3.0,18.5567,2019-07-26,-55.6701,22.97,-13.239899999999999
7,SVMK,-2.0,16.485,2019-09-04,-32.97,22.97,-12.969999999999999
8,SNAP,-1.0,13.81,2019-10-22,-13.81,21.58,-7.769999999999998
9,PTON,-1.0,30.58,2019-12-12,-30.58,68.3,-37.72
10,SPCE,-1.0,9.14,2019-12-12,-9.14,18.25,-9.11
11,Z,-2.0,44.62,2020-01-06,-89.24,79.76,-70.28000000000002
12,ZS,-1.0,51.18,2020-01-08,-51.18,125.85,-74.66999999999999
13,SMAR,-1.0,48.16,2020-01-22,-48.16,42.5,5.659999999999997
14,TWTR,-3.0,38.87,2020-02-06,-116.61,37.14,5.189999999999991
15,TWTR,-2.0,33.23,2020-06-22,-66.46,37.14,-7.820000000000007
16,WORK,-1.0,26.11,2020-02-10,-26.11,28.95,-2.84
17,WORK,-4.0,30.03,2020-08-05,-120.12,28.95,4.320000000000007
18,ZM,-0.102249,125.6736,2020-04-02,-12.8499999264,258.73,-13.604883843600003
19,NET,-2.151462,23.3562,2020-04-13,-50.249976764399996,40.06,-35.9375909556
20,DBX,-3.0,18.8233,2020-04-16,-56.4699,20.69,-5.600100000000005
21,BX,-0.302143,48.156000000000006,2020-04-20,-14.549998308,52.52,-1.3185520519999991
22,BRK-B,-0.068495,188.9189,2020-04-20,-12.940000055499999,209.48,-1.4083325444999988
23,TWLO,-0.558555,113.0775,2020-05-04,-63.160003012500006,249.0,-75.9201919875
24,TWLO,-0.441445,161.3565,2020-05-07,-71.2300201425,249.0,-38.689784857499994
25,DDOG,-1.0,50.0,2020-05-07,-50.0,75.28,-25.28
26,DDOG,-1.0,56.05,2020-05-11,-56.05,75.28,-19.230000000000004
27,ROKU,-0.073102,127.4931,2020-05-08,-9.3200005962,156.39,-2.112421183799999
28,DOCU,-0.084348,123.0616,2020-05-18,-10.3799998368,204.76,-6.8910966432
29,DOCU,-0.412049,226.8662,2020-08-04,-93.4799908438,204.76,9.1088376038
30,CRWD,-0.13156500000000002,76.9202,2020-05-18,-10.120006112999999,101.75,-3.266732637000001
31,PLUG,-10.0,6.682,2020-06-23,-66.82000000000001,11.28,-45.97999999999999
32,PLUG,-10.0,9.316,2020-07-08,-93.16,11.28,-19.639999999999986
33,VTI,-0.513733,153.6791,2020-06-25,-78.95002508030002,169.8,-8.281838319700004
34,VTI,-0.405378,155.8299,2020-06-30,-63.1700132022,169.8,-5.663171197800001
35,VTI,-0.327525,160.69,2020-07-07,-52.62999225,169.8,-2.9837527500000047
36,VTI,-0.366205,159.0639,2020-07-09,-58.249995499499995,169.8,-3.931613500500008
37,VTI,-0.645369,163.1005,2020-07-13,-105.2600065845,169.8,-4.3236496155
38,VTI,-0.6460779999999999,162.937,2020-07-13,-105.27001108600001,169.8,-4.434033314
39,VTI,-0.647584,162.5272,2020-07-15,-105.2500142848,169.8,-4.709748915200012
40,VTI,-1.297521,162.2633,2020-07-15,-210.5400392793,169.8,-9.77902652070003
41,MU,-1.028912,51.5593,2020-06-30,-53.0499824816,48.75,2.8905224816000006
42,UXIN,-14.084979,1.442,2020-07-01,-20.310539718,1.22,3.126865338
43,CDMO,-9.899778,7.1396,2020-07-01,-70.6804550088,7.73,-5.844828931200007
44,JETS,-3.05068,16.5799,2020-07-01,-50.57996933199999,16.65,-0.21385266800000013
45,STZ,-0.172245,185.2594,2020-07-01,-31.910005353000003,172.27,2.2373592029999982
46,WKHS,-1.0,21.08,2020-07-02,-21.08,16.52,4.559999999999999
47,WKHS,-2.0,16.675,2020-07-08,-33.35,16.52,0.3100000000000023
48,SOLO,-6.530239,4.2403,2020-07-06,-27.690172431700002,3.07,7.6423387017000035
49,LEVI,-2.536377,12.853,2020-07-08,-32.600053581,12.5,0.8953410809999993
50,DIS,-0.6115510000000001,113.809,2020-07-08,-69.600007759,129.93,-9.858813671000007
51,BBBY,-1.950091,9.7175,2020-07-08,-18.9500092925,12.11,-4.6655927175
52,WBA,-0.344194,38.2343,2020-07-09,-13.160016654200001,41.52,-1.130918225800002
53,CVS,-0.23041399999999998,60.7602,2020-07-09,-14.0000007228,64.96,-0.967692717199999
54,TTD,-0.142321,433.4568,2020-07-15,-61.6900052328,493.2,-8.5027119672
55,AMZN,-0.052363,3016.8249,2020-07-15,-157.9700022387,3167.46,-7.887705741299998
56,UBER,-1.049233,32.4523,2020-07-16,-34.05002408590001,32.9,-0.4697416140999975
57,CRSP,-0.104821,91.5847,2020-07-16,-9.5999998387,89.81,0.18602582869999953
58,CPRX,-5.0,5.042,2020-07-16,-25.21,4.05,4.96
59,CRBP,-4.0,7.1025,2020-07-16,-28.41,6.61,1.9699999999999989
60,SRNE,-4.0,6.8125,2020-07-16,-27.25,14.42,-30.43
61,SRNE,-2.0,11.9,2020-08-04,-23.8,14.42,-5.039999999999999
62,SRNE,-0.714655,13.6709,2020-08-06,-9.7699770395,14.42,-0.5353480605000003
63,VKTX,-5.0,7.0920000000000005,2020-07-16,-35.46,7.53,-2.1899999999999986
64,BIOC,-10.0,0.693,2020-07-16,-6.93,1.01,-3.170000000000001
65,RIGL,-10.0,3.335,2020-07-16,-33.35,2.58,7.549999999999999
66,OGEN,-10.0,1.045,2020-07-16,-10.45,1.06,-0.15000000000000124
67,VBIV,-5.0,4.83,2020-07-16,-24.15,4.24,2.9499999999999993
68,AMRN,-4.0,6.7425,2020-07-16,-26.97,7.0,-1.0300000000000011
69,MTNB,-20.0,0.777,2020-07-16,-15.54,0.89,-2.26
70,IBIO,-10.0,3.41,2020-07-16,-34.1,3.8,-3.899999999999997
71,IBB,-0.351012,140.9638,2020-07-16,-49.4799853656,136.23,1.6616206056000007
72,ADI,-0.082781,115.6062,2020-07-16,-9.5699968422,116.32,-0.059089077799999334
73,SOXX,-0.177894,279.5485,2020-07-16,-49.73000085899999,296.2,-2.9622019409999996
74,TOPS,-70.0,0.107,2020-07-16,-7.49,0.09,1.1900000000000002
75,CUK,-0.5858,13.2127,2020-07-16,-7.73999966,12.05,0.6811096599999995
76,BETZ,-5.0,16.422,2020-07-16,-82.11,17.29,-4.339999999999993
77,AMD,-1.0,85.37,2020-08-04,-85.37,84.85,0.5200000000000102
78,PENN,-2.0,37.56,2020-08-04,-75.12,49.0,-22.879999999999995
79,XBI,-1.0,113.23,2020-08-04,-113.23,113.92,-0.6899999999999977
80,DT,-1.0,42.39,2020-08-05,-42.39,37.84,4.549999999999997
81,GOOGL,-0.15861199999999998,1495.0949,2020-08-06,-237.1399922788,1498.37,-0.5194701611999742
82,BHVN,-0.135694,63.1568,2020-08-06,-8.5699988192,67.65,-0.6097002808000013
